REGIONAL_OFFICE_NAME,PRACTICE_NAME,PRACTICE_CODE,POSTCODE,QUANTITY,ITEMS,TOTAL_QUANTITY,NIC,ACTUAL_COST,UNIDENTIFIED,ADQ_USAGE,FECHA,SUSTANCIA,PRESENTACION,REGION_NAME
EAST OF ENGLAND,FELMORES MEDICAL CENTRE,F81186,SS13 1PN,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,MID AND SOUTH ESSEX STP
EAST OF ENGLAND,DR DEGUN & DR MACAULAY,F81029,SS16 5SB,1,4,4,293.0,272.7595,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,MID AND SOUTH ESSEX STP
MIDLANDS,WILLOW BANK SURGERY,Y02521,ST3 6AB,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,STAFFORDSHIRE & STOKE ON TRENT STP
MIDLANDS,COURT STREET MEDICAL PRACTICE,M82616,TF7 5EE,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,SHROPSHIRE & TELFORD & WREKIN STP
LONDON,SHEPHERDS BUSH MEDICAL CENTRE,E85077,W12 7LS,1,6,6,439.5,409.13925,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
LONDON,WOODFIELD ROAD MEDICAL CENTRE,E87741,W9 3XZ,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
NORTH WEST,PARKVIEW MEDICAL CENTRE,N81083,WA2 8HE,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CHESHIRE & MERSEYSIDE STP
NORTH WEST,RAINBOW MEDICAL CENTRE,N83001,WA9 3PN,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CHESHIRE & MERSEYSIDE STP
EAST OF ENGLAND,THE RED HOUSE GROUP,E82085,WD7 7JQ,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,HERTFORDSHIRE & WEST ESSEX STP
SOUTH WEST,ST ALBANS MEDICAL CENTRE,J81062,BH8 9EW,8,1,8,586.0,545.4322,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,DORSET STP
NORTH EAST AND YORKSHIRE,NORTH LEVERTON SURGERY,C84692,DN22 0AB,1,1,1,73.25,68.17747,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,SOUTH YORKSHIRE & BASSETLAW STP
SOUTH EAST,HYTHE MEDICAL CENTRE SURGERY,H81122,TW18 3HN,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,SURREY HEARTLANDS H&C PARTNERSHIP STP
