mes,sustancia,status,filas,detalle
202601,Tirzepatide,ok,49182.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202602,Semaglutide,ok,42764.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202602,Liraglutide,ok,864.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202602,Dulaglutide,ok,16298.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202602,Exenatide,ok,88.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202602,Lixisenatide,zero,,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202602,Tirzepatide,ok,48666.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202603,Semaglutide,ok,45157.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202603,Liraglutide,ok,869.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202603,Dulaglutide,ok,16765.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202603,Exenatide,ok,89.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202603,Lixisenatide,zero,,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202603,Tirzepatide,ok,50826.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202604,Semaglutide,ok,44835.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202604,Liraglutide,ok,902.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202604,Dulaglutide,ok,16412.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202604,Exenatide,ok,46.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202604,Lixisenatide,zero,,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202604,Tirzepatide,ok,51222.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202605,Semaglutide,ok,43704.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202605,Liraglutide,ok,871.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202605,Dulaglutide,ok,16161.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202605,Exenatide,ok,22.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202605,Lixisenatide,zero,,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202605,Tirzepatide,ok,51966.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202606,Semaglutide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202606,Liraglutide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202606,Dulaglutide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202606,Exenatide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202606,Lixisenatide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202606,Tirzepatide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202607,Semaglutide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202607,Liraglutide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202607,Dulaglutide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202607,Exenatide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202607,Lixisenatide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202607,Tirzepatide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202608,Semaglutide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202608,Liraglutide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202608,Dulaglutide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202608,Exenatide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202608,Lixisenatide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
202608,Tirzepatide,error,,"{'__type': 'Not Found Error', 'message': 'Not found'}"
